numero_amostra,accel_x,accel_y,accel_z,giro_x,giro_y,giro_z
49,0.8159,0.6904,0.7222,102.05,86.35,90.32
50,0.8160,0.6904,0.7222,102.05,86.35,90.32
51,0.8311,0.6904,0.7222,103.94,86.35,90.32
52,0.8311,0.6904,0.7222,103.95,86.35,90.32
53,0.8312,0.6904,0.7222,103.95,86.35,90.32
54,0.8312,0.6904,0.7222,103.96,86.35,90.32
55,0.8313,0.6904,0.7222,103.97,86.35,90.32
56,0.8314,0.6904,0.7222,103.98,86.35,90.32
57,0.8314,0.6904,0.7222,103.98,86.35,90.32
58,0.8315,0.6904,0.7222,103.99,86.35,90.32
59,0.8315,0.6904,0.7222,104.00,86.35,90.32
60,0.8316,0.6904,0.7222,104.01,86.35,90.32
61,0.8467,0.6904,0.7222,105.89,86.35,90.32
62,0.8467,0.6904,0.7222,105.90,86.35,90.32
63,0.8468,0.6904,0.7222,105.91,86.35,90.32
64,0.8469,0.6904,0.7222,105.92,86.35,90.32
65,0.8469,0.6904,0.7222,105.92,86.35,90.32
66,0.8470,0.6904,0.7222,105.93,86.35,90.32
67,0.8470,0.6904,0.7222,105.94,86.35,90.32
68,0.8471,0.6904,0.7222,105.95,86.35,90.32
69,0.8472,0.6904,0.7222,105.95,86.35,90.32
70,0.8472,0.6904,0.7222,105.96,86.35,90.32
71,0.8623,0.6904,0.7222,107.85,86.35,90.32
72,0.8624,0.6904,0.7222,107.85,86.35,90.32
73,0.8624,0.6904,0.7222,107.86,86.35,90.32
74,0.8625,0.6904,0.7222,107.87,86.35,90.32
75,0.8625,0.6904,0.7222,107.88,86.35,90.32
76,0.8626,0.6904,0.7222,107.89,86.35,90.32
77,0.8627,0.6904,0.7222,107.89,86.35,90.32
78,0.8627,0.6904,0.7222,107.90,86.35,90.32
79,0.8628,0.6904,0.7222,107.91,86.35,90.32
80,0.8629,0.6904,0.7222,107.92,86.35,90.32
81,0.8779,0.6904,0.7222,109.80,86.35,90.32
82,0.8780,0.6904,0.7222,109.81,86.35,90.32
83,0.8781,0.6904,0.7222,109.82,86.35,90.32
84,0.8781,0.6904,0.7222,109.82,86.35,90.32
85,0.8782,0.6904,0.7222,109.83,86.35,90.32
